name,description,ingr_type,unit_of_measure,image_url,flavor,texture,origin
Lettuce,leafy vegetable often used in salads,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,grassy|mild|slightly sweet,crisp,Global
Spinach,nutrient-dense leafy vegetable with a slightly bitter taste,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,earthy|slightly bitter|iron-rich,tender,Global
Arugula,peppery and spicy leafy green often used in salads,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,peppery|spicy|nutty,tender,Europe|Mediterranean
Kale,robust and hearty leafy green with a slightly bitter flavor,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,earthy|slightly bitter|savory,chewy,Global
Romaine,crisp and mild leafy vegetable often used in Caesar salads,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,grassy|slightly bitter|mild,crisp,Global
Iceberg lettuce,crisp and watery leafy vegetable with a mild flavor,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,mild|watery|slightly sweet,crisp,Global
Butter lettuce,smooth and tender leafy green with a buttery taste,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,mild|buttery|slightly sweet,tender,Global
Red leaf lettuce,crisp, red-tinged leafy vegetable with a mild bitterness,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,mild|slightly bitter|grassy,crisp,Global
Green leaf lettuce,tender and mild leafy green with a slightly sweet flavor,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,mild|slightly sweet|earthy,crisp,Global
Endive,crunchy leafy vegetable with a slightly bitter and nutty flavor,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,bitter|nutty|slightly sweet,crunchy,Europe
Radicchio,bitter and peppery leafy vegetable with a nutty flavor,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,bitter|peppery|nutty,crisp,Italy|Mediterranean
Watercress,tender, peppery leafy green often used in salads and garnishes,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,peppery|spicy|slightly bitter,tender,Global
Cabbage,crunchy and slightly bitter leafy vegetable often used in slaws,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,earthy|sweet|slightly bitter,crunchy,Global
Red cabbage,crunchy leafy vegetable with a sweet, slightly peppery taste,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,earthy|sweet|slightly peppery,crunchy,Global
Napa cabbage,tender leafy vegetable with a mild, slightly sweet flavor,vegetable (leaf),leaf,wire_vegetable_leaf_am_ojf2pa,mild|sweet|slightly peppery,tender,Asia
Carrot,crunchy orange root vegetable with a mild, earthy sweetness,vegetable (slice),slice,wire_vegetable_slice_am_fc8a6l,sweet|earthy|mild,crunchy,Global
Cherry tomato,sweet and juicy small tomato often used in salads,vegetable (slice),slice,wire_vegetable_slice_am_fc8a6l,sweet|juicy|tangy,juicy,Global
Grape tomato,sweet and tangy small tomato variety,vegetable (slice),slice,wire_vegetable_slice_am_fc8a6l,sweet|tangy|mild,juicy,Global
Heirloom tomato,rich and tangy variety of tomato with a complex flavor,vegetable (slice),slice,wire_vegetable_slice_am_fc8a6l,sweet|rich|tangy,juicy,Global
Roma tomato,tangy and savory tomato variety often used in sauces,vegetable (slice),slice,wire_vegetable_slice_am_fc8a6l,tangy|savory|mild,juicy,Global
Beefsteak tomato,large, mild, and juicy tomato often used in sandwiches,vegetable (slice),slice,wire_vegetable_slice_am_fc8a6l,mild|sweet|juicy,juicy,Global
